ID,region,subregion,biome,date,plot_name,tree_number,genus,species,dbh,height,live,tree_notes,use_for_allometry,plot_type,plot_shape,baf,plot_area,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,collected_by,digitized_by
Flamingo1_100_tree_1,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,1,Avicennia,germinans,7.4,9.25,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_2,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,2,Avicennia,germinans,13.5,15.11,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_3,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,3,Avicennia,germinans,10.7,13.69,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_4,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,4,Avicennia,germinans,11.4,15.7,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_5,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,5,Avicennia,germinans,11,11.19,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_6,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,6,Avicennia,germinans,12.7,15.4,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_7,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,7,Laguncularia,racemosa,13.2,17.44,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_8,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,8,Rhizophora,mangle,13.7,10.79,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_9,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,9,Avicennia,germinans,17.3,14.67,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
Flamingo1_100_tree_10,north_america,Florida,mangrove,11/2/2004,Flamingo1_100,10,Avicennia,germinans,20.7,14.5,1,,1,v,NA,5,-9999,25.444025,-81.146302,-9999,-9999,-9999,-9999,-9999,-9999,m simard,jm corcoran
